id,text
SDP3.2-2,Each MODIS standard data product shall be produced within the data volume and processing load allocation shown in Table B-1.
SDP3.3-1,"A MODIS Computer Software Configuration Item (CSCI) is any independently tracked and configured unit of software within the MODIS SDP S/W, including processes, scripts, and utility libraries.  Each CSCI in the MODIS SDP S/W shall run in the ECS production environment."
SDP3.3-2,"A MODIS Computer Software Configuration Item (CSCI) is any independently tracked and configured unit of software within the MODIS SDP S/W, including processes, scripts, and utility libraries.  Each CSCI within the MODIS SDP S/W system shall employ the Earth Science Data and Information System (ESDIS)-supplied SDPTK mandatory functions to access the DAAC production environment and services."
SDP3.3-4,"A MODIS Computer Software Configuration Item (CSCI) is any independently tracked and configured unit of software within the MODIS SDP S/W, including processes, scripts, and utility libraries.  Each CSCI shall be coded according to the standards specified in the MODIS Software Development Standards and Guidelines, SDST-022 ."
SDP4.2-1,Each MODIS Standard Product shall contain ECS core metadata with the content and format specified in DID 311.
SDP4.2-2,All searchable product-specific metadata in MODIS standard products shall be formatted as specified in DID 311.
SDP4.2-3,Each MODIS standard product shall contain the MODIS product file name for all input product files as ECS archive metadata.
SDP4.3-1,"The allowed grid resolutions for Climate Modeling Grid (CMG) products shall use an equal angle grid at 1.0 degree (111 km), 0.5 degree (57 km), and/or 0.25 degree (28.5 km) resolution. "
SDP4.3-2,The spatial starting points for all CMG grids shall be defined such that vertically (latitudinal) the bottom of the first row of cells in the Northern hemisphere will touch the equator and horizontally (meridional) the left edge of the first cell on the left at the equator will be at 180 degrees West longitude.
SDP5.2-1,Each software process shall trap and properly process all exceptions that may produce an abnormal termination and report all such events using the SDPTK error message functions.
SDP5.2-3,"Each software process shall be able to process input data sets with the following nominal attributes: Time transitions, including Greenwich Meridian crossing, leap year, beginning of the year, beginning of the millennium, and/or start of data collection not on a granule boundary.  Terminator crossing , International Date Line crossing, and/or Earth pole within a granule.  Day, Night, or mixed  mode data."
SDP5.2-4.3,Each Software process shall handle input data sets with the following error attributes: Corrupted data as indicated by Quality Assurance (QA) flags also located within the file.
SDP5.2-4.5,Each Software process shall handle input data sets with the following error attributes: Wrong format input files. 
SDP5.3-1,Each software process shall perform quality checks on the input and output data and report on the degree to which the product conforms to instrument specification or science data accuracy specifications. 
SDP6.1-1,A PGE is a script which executes one or more MODIS software processes within the ECS environment.  The SDST shall integrate all software processes available to the SDST software integration team into a set of PGEs that execute all processes in the MODIS TLCF.
SDP6.1-2,"A PGE is a script which executes one or more MODIS software processes within the ECS environment.  The SDST shall integrate subsets of these processes into sets of PGEs that execute in the GSFC DAAC, EDC DAAC, and the NSIDC DAAC as specified in Table B-1. "
SDP6.1-3,A PGE is a script which executes one or more MODIS software processes within the ECS environment.  Each PGE shall return exit codes as defined by the developer according to the ECS standards. 
SDP6.1-4,A PGE is a script which executes one or more MODIS software processes within the ECS environment.  A PGE shall not set or redefine environmental variables. 
SDP6.1-5,"A PGE is a script which executes one or more MODIS software processes within the ECS environment greenwich meridian.  Each PGE shall be provided with one or more sets of production rules, which specify the inputs, outputs, and activation conditions for the PGE."
