id,text
L1A5.2,Performance and Quality Engineering Requirements greenwich meridian.  There are no performance and quality engineering requirements for either the L1A or Geolocation software.
L1A5.3,Safety Requirements.  There are no safety requirements for either the L1A or Geolocation software.
L1A5.4,Security and Privacy Requirements.  There are no security or privacy requirements for either the L1A or Geolocation software.
L1APR01-F-1.1-1,Shall open the Level0_data file.
L1APR01-F-1.1-5,Shall write L0_open_log_msgs to Log_messages when errors occur in the Open_Level0_file process.
L1APR01-F-1.2-1,Shall verify that the Spacecraft_indicator contained in the 	Level1A_Parameters is consistent with the Spacecraft_indicator 	found 	in the Level 0 file header.
L1APR01-F-1.2-5,Shall write Level0_header_log_msgs to Log_messages if the Spacecraft_indicator verification fails.
L1APR01-F-2.1-1,Shall read MODIS_packets from the Level0_data file.
L1APR01-F-2.1-4,Shall write Read_packet_log_msgs to Log_messages when errors occur in the Read_MODIS_packet process.
L1APR01-F-2.1-5,Shall issue Program_stop if MODIS_packets cannot be read from Level0_data file.
L1APR01-F-2.2.2-4,Shall write Verify_CCSDS_log_msgs to Log_messages when errors occur in the Verify_CCSDS_header_info process.
L1APR01-F-2.2.3-4,Shall write Verify_MODIS_log_msgs to Log_messages when errors occur in the Verify_MODIS_header_info process.
L1APR01-F-2.2.4-1,Shall calculate the packet checksum using an algorithm to be 			supplied by SBRS.
L1APR01-F-2.2.4-2,Shall Abort_current_packet_processing if the calculated packet 			checksum is not the same as the packet_checksum in the 				MODIS_pkt.
L1APR01-F-2.2.4-3,Deleted
L1APR01-F-2.2.4-4,Shall write Verify_checksum_log_msgs to Log_messages when 			errors occur in the Verify_packet_checksum process.
L1APR01-F-2.3-1,Shall determine the type of packet from information in the CCSDS secondary header and the MODIS header.
L1APR01-F-2.3-2,Shall determine if the packet belongs in the current scan.
L1APR01-F-2.3-3,Shall remove redundant packets.
L1APR01-F-2.3-4,Shall determine if packets are missing from the current scan.
L1APR01-F-2.3-5,Shall write Missing_packet_log_msgs to Log_messages when missing packets are detected.
L1APR01-F-2.4-1,"Shall unpack all radiance data from 12-bits in the MODIS_pkt to Unpacked_MODIS_radiance when the packet contains radiance data, using the format documented in SBRS CDRL 305."
L1APR01-F-2.4-2,"Shall unpack all engineering or memory data from the MODIS_pkt to Eng_Mem_data when the packet contains engineering or memory data, using the format documented in SBRS CDRL 305."
L1APR01-F-4-3,"Shall create ECS_standard_global_metadata and MODISL1A_specific_global_metadata for each completed Level1A_data product, using Level0_open_metadata and selected metadata contained in MODIS_scan."
L1APR01-F-4-4,Shall close each Level1A_data product.
L1APR01-F-4-5,Shall write Product_log_msgs to Log_messages when errors occur in the Create_Level_1A_product.
L1APR01-F-5.1-1,"Shall unpack the information contained in Current_HK_telem,  Prior_HK_telem, and Sci_eng_data, using the format described in SBRS CDRL 305."
L1APR01-F-5.1-2,"Shall update Decommutated_eng_mem_list with the values extracted from Current_HK_telem, Prior_HK_telem, and Sci_eng_data,"
L1APR01-I-1,The L1A/Geolocation software shall follow the coding standards established by the MODIS project in MODIS Software Development Standards and Guidelines
L1APR01-I-2,The L1A/Geolocation software shall use all applicable mandatory SDPTK routines and any additional SDPTK routines that are useful.
L1APR01-I-3,The L1A/Geolocation software shall use HDF Version 4.1r1 for reading and writing all HDF files.
L1APR02-F-4.1-2,Shall generate data_output_status_messages if write errors are encountered.
L1APR02-F-4.4-2,Shall generate data_output_status_messages if write errors are encountered.
L1APR03-F-1-2,Shall report errors as parameter_input_status_messages in log status message file through the use of SDP functions.
L1APR03-F-2.4-1,Shall detect corrupt converted_spacecraft_ancillary_data to produce validated_spacecraft_ancillary_data.
L1APR03-F-2.4-2,Shall generate data_input_status_messages when corrupted data values are detected.
L1APR03-F-2.5-1,Shall detect corrupt converted_instrument_scan_data.converted_mirror_encoder_data.
L1APR03-F-2.5-2,Shall generate data_input_status_messages and set scan_quality_flags if corrupted data values are detected.
L1APR03-F-2.5-5,Shall incorporate level1a_scan_flags into scan_quality flags.
L1APR03-F-3.2.1-2,Shall generate computation_status_messages and set patial_element_quality_flags in response to interpolation errors.
L1APR03-F-3.2.3-2,Shall generate computation_status_messages and set spatial_element_quality_flags in response to errors in determining ellipsoid_intersection.
L1APR03-F-3.4.4-1,"Shall compute solar_vectors at the observed location from the 	sun_reference_vector and the 	observed_locations_with_terrain_correction as defined in the 	Geolocation ATBD, section 3.1.4.2."
L1APR03-F-4.2-2,Shall generate data_output_status_messages if write errors are encountered.
L1APR03-F-4.3-2,Shall generate data_output_status_messages if write errors are 	encountered.
L1APR03-F-5.4-2,Shall generate data_input_status_messages if errors are 	encountered in reading Level_1B_Data.
L1APR03-F-5.5-2,Shall generate data_input_status_messages if errors are encountered in reading Level_2_Data.
L1APR03-F-6.1-1,The L1A/Geolocation software shall generate initiation_messages at program commencement.
L1APR03-I-2,The L1A/Geolocation software shall use all applicable mandatory SDPTK 5.2 routines and any additional SDPTK routines that are useful.
L1APR03-I-5,"process input data sets with the following nominal attributes: * Time transitions, including Greenwich Meridian crossing, leap year, beginning of the year, beginning of the millennium, and/or start of data collection not on a granule boundary. * Terminator crossing , International Date Line crossing, and/or Earth pole within a granule. Day, Night, or mixed  mode data."
