Filename,Dataset,Approach,Model,True Positives,False Positives,False Negatives,Precision,Recall,F1,F2
results-CCHIT_no_llm.json_654ce37f-0540-3a06-8f15-f6aabd068810.md,CCHIT,IR,only,92,372,495,0.198275862068966,0.156729131175469,0.175071360608944,0.163584637268848
results-CCHIT_reasoning_gpt_gpt-4o-2024-08-06.json_b04ad136-e815-3e2f-841f-04edac95be9c.md,CCHIT,CoT,gpt_gpt-4o,81,140,506,0.366515837104072,0.137989778534923,0.20049504950495,0.157648890618918
results-CCHIT_reasoning_gpt_gpt-4o-mini-2024-07-18.json_fc5aaa1f-b4c2-34ad-8956-fa45d879e710.md,CCHIT,CoT,gpt_gpt-4o-mini,85,237,502,0.263975155279503,0.144804088586031,0.187018701870187,0.159176029962547
results-CCHIT_reasoning_ollama_codellama_13b.json_33c01f99-852d-3a8f-bffe-517b9f491501.md,CCHIT,CoT,ollama_codellama_13b,89,342,498,0.206496519721578,0.151618398637138,0.174852652259332,0.16012954300108
results-CCHIT_reasoning_ollama_llama3.1_8b-instruct-fp16.json_ba81e714-772e-3f65-9679-9eb6ab3d3a33.md,CCHIT,CoT,ollama_llama3.1_8b-instruct-fp16,76,199,511,0.276363636363636,0.129471890971039,0.176334106728538,0.144872283644682
results-CCHIT_simple_gpt_gpt-4o-2024-08-06.json_22a9c00a-41e8-313c-9f4a-0c6f689df35c.md,CCHIT,KISS,gpt_gpt-4o,92,301,495,0.234096692111959,0.156729131175469,0.187755102040816,0.167821962787304
results-CCHIT_simple_gpt_gpt-4o-mini-2024-07-18.json_43acdde6-c26d-3a48-be89-d9004e477b7f.md,CCHIT,KISS,gpt_gpt-4o-mini,92,342,495,0.211981566820277,0.156729131175469,0.180215475024486,0.165348670021567
results-CCHIT_simple_ollama_codellama_13b.json_bf6c8d77-dce4-36bd-b9b7-3370e7a81625.md,CCHIT,KISS,ollama_codellama_13b,91,278,496,0.246612466124661,0.155025553662692,0.190376569037657,0.167464114832536
results-CCHIT_simple_ollama_llama3.1_8b-instruct-fp16.json_14fe5a02-4aa9-3a48-af4f-54903362f160.md,CCHIT,KISS,ollama_llama3.1_8b-instruct-fp16,92,357,495,0.204899777282851,0.156729131175469,0.177606177606178,0.164461923489453
results-CM1-NASA_no_llm.json_f7fffccf-a3d8-3fdc-85e5-592a77a770c9.md,CM1-NASA,IR,only,29,59,16,0.329545454545455,0.644444444444445,0.43609022556391,0.541044776119403
results-CM1-NASA_reasoning_gpt_gpt-4o-2024-08-06.json_706d00b9-5137-3a19-860a-95e3f735fe1c.md,CM1-NASA,CoT,gpt_gpt-4o,27,32,18,0.457627118644068,0.6,0.519230769230769,0.564853556485356
results-CM1-NASA_reasoning_gpt_gpt-4o-mini-2024-07-18.json_cec4f254-fe26-3878-b1a9-fa70f9f48bbb.md,CM1-NASA,CoT,gpt_gpt-4o-mini,29,52,16,0.358024691358025,0.644444444444445,0.46031746031746,0.555555555555556
results-CM1-NASA_reasoning_ollama_codellama_13b.json_7d860cd5-c495-38e5-9599-2394f55d3efd.md,CM1-NASA,CoT,ollama_codellama_13b,21,27,24,0.4375,0.466666666666667,0.451612903225806,0.460526315789474
results-CM1-NASA_reasoning_ollama_llama3.1_8b-instruct-fp16.json_bb1167d1-4493-3f75-9799-6ea57c741a4a.md,CM1-NASA,CoT,ollama_llama3.1_8b-instruct-fp16,29,41,16,0.414285714285714,0.644444444444445,0.504347826086957,0.58
results-CM1-NASA_simple_gpt_gpt-4o-2024-08-06.json_ee7f57c9-f2b5-39ea-aef6-21906509de07.md,CM1-NASA,KISS,gpt_gpt-4o,29,56,16,0.341176470588235,0.644444444444445,0.446153846153846,0.547169811320755
results-CM1-NASA_simple_gpt_gpt-4o-mini-2024-07-18.json_d5eb2dd7-82cb-32cf-9cd2-50720ef0881e.md,CM1-NASA,KISS,gpt_gpt-4o-mini,29,59,16,0.329545454545455,0.644444444444445,0.43609022556391,0.541044776119403
results-CM1-NASA_simple_ollama_codellama_13b.json_2143b943-c6c0-3a67-a6c6-a6c0fd8f2411.md,CM1-NASA,KISS,ollama_codellama_13b,29,56,16,0.341176470588235,0.644444444444445,0.446153846153846,0.547169811320755
results-CM1-NASA_simple_ollama_llama3.1_8b-instruct-fp16.json_febbf672-cb88-3027-b162-03a2a9153aa8.md,CM1-NASA,KISS,ollama_llama3.1_8b-instruct-fp16,29,59,16,0.329545454545455,0.644444444444445,0.43609022556391,0.541044776119403
results-dronology_no_llm.json_6749d361-9d8f-3bee-b132-36abb0c8645b.md,dronology,IR,only,153,243,67,0.386363636363636,0.695454545454545,0.496753246753247,0.599529780564263
results-dronology_reasoning_gpt_gpt-4o-2024-08-06.json_27966810-e7c4-39dd-8125-dab0b8215090.md,dronology,CoT,gpt_gpt-4o,144,137,76,0.512455516014235,0.654545454545455,0.574850299401198,0.62015503875969
results-dronology_reasoning_gpt_gpt-4o-mini-2024-07-18.json_fd4b0451-c31a-3804-9f75-2b1e1499c921.md,dronology,CoT,gpt_gpt-4o-mini,147,202,73,0.421203438395415,0.668181818181818,0.516695957820738,0.598047192839707
results-dronology_reasoning_ollama_codellama_13b.json_c3547365-8233-3251-bdf9-7a4816280c33.md,dronology,CoT,ollama_codellama_13b,139,219,81,0.388268156424581,0.631818181818182,0.480968858131488,0.561389337641357
results-dronology_reasoning_ollama_llama3.1_8b-instruct-fp16.json_cf7fcfa5-14b0-305c-87e5-7246dcf5d082.md,dronology,CoT,ollama_llama3.1_8b-instruct-fp16,125,184,95,0.40453074433657,0.568181818181818,0.472589792060492,0.525651808242221
